Frequency,Non vocalized Syriac,Vocalized Syriac,SedraID,absolute_frequency,Grammatical Category,long_definition,English,category
1583,ܙܚܐ,ܒܶܙܚܳܐ,361,938,NounAdj,"ܒܶܙܚܳܐ mocking, disgrace.","mocking, disgrace",
1584,ܫܦܪܐ,ܫܰܦܪܳܐ,3297,937.65,NounAdj,"ܫܰܦܪܳܐ twilight, dawn.","twilight, dawn",Light
1585,ܡܘܒܠܐ,ܡܰܘܒܠܳܐ,1294,936.5,NounAdj,"ܡܰܘܒܠܳܐ f. burden, load, cargo.","burden, load, cargo",
1586,ܡܚܣܝܢܐ,ܡܚܰܣܝܳܢܳܐ,8777,936,NounAdj,"ܡܚܰܣܝܳܢܳܐ absolving, pardoning; one who pardons, makes propitiation.",absolving; one who pardons,Numbers
1587,ܛܢܦܐ,ܛܰܢܦܳܐ,1257,936,NounAdj,"ܛܰܢܦܳܐ defiled, polluted, filthy, foul.","defiled, polluted",
1588,ܛܡܪ,ܛܡܰܪ,1252,934,Verb,"ܛܡܰܪ fut. ܢܶܛܡܽܘܪ, Ia to hide, bury under the earth; to cover; to overwhelm, to rush headlong upon; Ip to hide oneself; to be covered, overwhelmed; to be irrigated; IIp to be buried with earth, to be overwhelmed.","to hide, bury under the earth",Materials
1589,ܡܝܬܘܬܐ,ܡܺܝܬܽܘܬܳܐ,1733,933,NounAdj,ܡܺܝܬܽܘܬܳܐ mortality; deadness.,mortality; deadness,
1590,ܬܡܝܡܐ,ܬܰܡܺܝܡܳܐ,3407,932,NounAdj,"ܬܰܡܺܝܡܳܐ straightforward; innocent, guileless; harmless.",straightforward; innocent; harmless,
1591,ܪܘܚܬܐ,ܪܘܰܚܬܳܐ,12514,932,NounAdj,ܪܘܰܚܬܳܐ relief; spaciousness.,relief; spaciousness,
1592,ܥܪܛܠܝܐ,ܥܰܪܛܶܠܳܝܳܐ,2414,930,NounAdj,"ܥܰܪܛܶܠܳܝܳܐ naked, bare, exposed; simple, straightforward.","naked; simple, straightforward",
1593,ܡܢܚܡܢܐ,ܡܢܰܚܡܳܢܳܐ,13976,929,NounAdj,ܡܢܰܚܡܳܢܳܐ raiser (from the dead).,raiser (from the dead),
1594,ܪܛܝܒܘܬܐ,ܪܰܛܺܝܒܽܘܬܳܐ,6804,925,NounAdj,ܪܰܛܺܝܒܽܘܬܳܐ moisture; humidity; sap.,moisture; sap,
1595,ܩܪܝܒܘܬܐ,ܩܰܪܺܝܒܽܘܬܳܐ,2879,923,NounAdj,ܩܰܪܺܝܒܽܘܬܳܐ proximity; affinity; relationship.,proximity; affinity; relationship,
1596,ܩܕܝܫܐܝܬ,ܩܰܕܺܝܫܳܐܺܝܬ,12192,923,Adverb_ܐܝܬ,ܩܰܕܺܝܫܳܐܺܝܬ in holy fashion.,in holy fashion,Christianity
1597,ܚܙܩ,ܚܙܰܩ,1005,921,Verb,"ܚܙܰܩ fut. ܢܶܚܙܽܘܩ, Ia to gird, gird up; to go on a journey, proceed, travel, depart; IIa to gird around; to strengthen; to arm; to send (on a journey); IIp to gird oneself, to be armed, to be ready.","to gird, gird up",
1598,ܣܦܝܩܐ,ܣܦܺܝܩܳܐ,2183,921,NounAdj,"ܣܦܺܝܩܳܐ empty, vain, fruitless; unoccupied, at leisure.","empty, vain; unoccupied",
1599,ܡܙܓ,ܡܙܰܓ,1734,918,Verb,"ܡܙܰܓ fut. ܢܶܡܙܽܘܓ, Ia to mix, mingle, blend, dilute; Ip; IIa to mingle, compound, join; to make temperate; IIp to be mingled, to be temperate, moderate.","to mix, mingle, blend, dilute",
1600,ܩܠܝܕܐ,ܩܠܺܝܕܳܐ,2823,918,NounAdj,ܩܠܺܝܕܳܐ key.,key,Objects
1601,ܐܪܢܐ,ܐܰܪܢܳܐ,7700,918,NounAdj,ܐܰܪܢܳܐ wild goat.,wild goat,Animals
1602,ܡܠܠܐ,ܡܰܠܳܠܳܐ,5860,917,NounAdj,ܡܰܠܳܠܳܐ endowed with speech; talkative.,endowed with speech; talkative,
1603,ܝܒܫ,ܝܺܒܶܫ,1296,916,Verb,"ܝܺܒܶܫ fut. ܢܺܐܒܰܫ, Ia to dry up, to be arid; to wither, droop; IIa to desiccate, to parch; IIp; IIIa ܐܰܘܒܶܫ to dry up, to shrivel.","to dry up, to be arid",
1604,ܪܘܚܐ,ܪܘܳܚܳܐ,7607,915.975,NounAdj,ܪܘܳܚܳܐ ease; joy.,ease; joy,Emotions
1605,ܝܠܕܬܐ,ܝܳܠܰܕܬܳܐ,8271,915,NounAdj,ܝܳܠܰܕܬܳܐ mother; woman in travail.,mother,Family
1606,ܦܩܥܬܐ,ܦܩܰܥܬܳܐ,2573,914,NounAdj,ܦܩܰܥܬܳܐ valley; plain; expanse.,valley; plain; expanse,
1607,ܓܝܪܐ,ܓܰܝܳܪܳܐ,543,914,NounAdj,ܓܰܝܳܪܳܐ adulterer.,adulterer,
1608,ܡܬܒܪܢܫܢܘܬܐ,ܡܶܬܒܰܪܢܫܳܢܽܘܬܳܐ,13117,913,NounAdj,"ܡܶܬܒܰܪܢܫܳܢܽܘܬܳܐ inhomination, incarnation.","inhomination, incarnation",
1609,ܩܨܐ,ܩܶܨܳܐ,10799,912.6,NounAdj,"ܩܶܨܳܐ end, cutting off, limit.",end,
1610,ܦܘܫܟܐ,ܦܽܘܫܳܟܳܐ,9315,912,NounAdj,"ܦܽܘܫܳܟܳܐ hesitation, uncertainty, doubt.","hesitation, uncertainty, doubt",
1611,ܨܥܪ,ܨܥܰܪ ,15310,911,Verb,"ܨܥܪ* Ip ܐܶܨܛܥܰܪ to be outraged; IIa to abuse, dishonor; to insult; IIp.",to be outraged,
1612,ܚܣܡܐ,ܚܰܣܳܡܳܐ,12820,910.1,NounAdj,"ܚܰܣܳܡܳܐ envious, grudging.",envious,
1613,ܚܘܒܠܐ,ܚܽܘܒܠܳܐ,978,909.6,NounAdj,"ܚܽܘܒܠܳܐ recompense, reward; remuneration; interest.",recompense,
1614,ܓܕܐ,ܓܰܕܳܐ,9663,909,NounAdj,"ܓܰܕܳܐ fortune, luck, success.","fortune, luck, success",
1615,ܦܪܗܣܝܐ,ܦܰܪܗܶܣܺܝܰܐ,7504,908,NounAdj,"ܦܰܪܗܶܣܺܝܰܐ freedom of speech, confidence; familiarity; boldness.",confidence; boldness,
1616,ܪܕܘܦܐ,ܪܳܕܽܘܦܳܐ,2946,907,NounAdj,ܪܳܕܽܘܦܳܐ persecutor.,persecutor,
1617,ܥܕܥܐܕܐ,ܥܰܕܥܺܐܕܳܐ,9074,904,NounAdj,"ܥܰܕܥܺܐܕܳܐ, ܥܰܕܥܺܝܕܳܐ feast, festival.","feast, festival",
1618,ܫܪܝܪܘܬܐ,ܫܰܪܺܝܪܽܘܬܳܐ,3309,904,NounAdj,"ܫܰܪܺܝܪܽܘܬܳܐ truth, fidelity, steadfastness, soundness.","truth, fidelity",
1619,ܗܕܝܪܐ,ܗܕܺܝܪܳܐ,5911,903,NounAdj,"ܗܕܺܝܪܳܐ splendid, magnificent.","splendid, magnificent",
1620,ܡܪܢܐܝܬ,ܡܳܪܳܢܳܐܺܝܬ,7421,903,Adverb_ܐܝܬ,"ܡܳܪܳܢܳܐܺܝܬ authoritatively, rightfully, properly.","authoritatively, rightfully, properly",
1621,ܟܬܘܒܐ,ܟܳܬܽܘܒܳܐ,7329,903,NounAdj,ܟܳܬܽܘܒܳܐ writer; scribe; secretary.,writer; scribe; secretary,
1622,ܡܬܩܠܐ,ܡܰܬܩܳܠܳܐ,10515,903,NounAdj,"ܡܰܬܩܳܠܳܐ weight; scale, balance; shekel.","weight; scale, balance; shekel",Money
1623,ܗܦܟܬܐ,ܗܦܳܟܬܳܐ,808,901.8,NounAdj,ܗܦܳܟܬܳܐ retort; objection; turning away.,retort; turning away,
1624,ܟܦܢ,ܟܦܶܢ,1566,901,Verb,"ܟܦܶܢ fut. ܢܶܟܦܰܢ, Ia to hunger, = Ip; to hunger after; IIp to be hungry; IIIa to afflict with hunger.",to hunger; to be hungry,
1625,ܠܝܠܐ,ܕܠܺܝܠܳܐ,713,900.7,NounAdj,ܕܠܺܝܠܳܐ easy.,easy,
1626,ܢܛܘܪܬܐ,ܢܛܽܘܪܬܳܐ,1953,898,NounAdj,"ܢܛܽܘܪܬܳܐ charge, precept; observance; custody; ܒܶܝܬ ܢܛܽܘܪܬܳܐ prison.","charge, precept",
1627,ܚܒܘܫܝܐ,ܚܒܽܘܫܝܳܐ,944,895,NounAdj,"ܚܒܽܘܫܝܳܐ siege, blockade; imprisonment, confinement; reclusion; burrow; distress.",siege; reclusion,
1628,ܐܬܘܢܐ,ܐܰܬܽܘܢܳܐ,319,894,NounAdj,"ܐܰܬܽܘܢܳܐ oven, furnace.","oven, furnace",
1629,ܥܠܡܝܐ,ܥܳܠܡܳܝܳܐ,6708,893,NounAdj,"ܥܳܠܡܳܝܳܐ lay, secular, temporal; layman.","lay, secular",
1630,ܦܫܝܩܐܝܬ,ܦܫܺܝܩܳܐܺܝܬ,10751,893,Adverb_ܐܝܬ,"ܦܫܺܝܩܳܐܺܝܬ easily, readily; distinctly.","easily, readily; distinctly",
1631,ܩܪܨܐ,ܩܰܪܨܳܐ,2891,893,Verb,ܩܰܪܨܳܐ with ܐܶܟܰܠ to slander.,to slander,
1632,ܚܬܝܬܘܬܐ,ܚܰܬܺܝܬܽܘܬܳܐ,5685,892,NounAdj,"ܚܰܬܺܝܬܽܘܬܳܐ accuracy, exactness, genuineness; characteristic (quality); Gram. regularity.","accuracy, genuineness; characteristic",
1633,ܢܝܣܢ,ܢܺܝܣܳܢ,12449,892,Proper noun,"ܢܺܝܣܳܢ Nisan, April.","Nisan, April",Months
1634,ܛܠܐ,ܛܰܠܳܐ,12643,891,NounAdj,ܛܰܠܳܐ dew.,dew,Liquids
1635,ܦܫܝܛܘܬܐ,ܦܫܺܝܛܽܘܬܳܐ,2629,891,NounAdj,ܦܫܺܝܛܽܘܬܳܐ simplicity; outstretching.,simplicity; outstretching,
1636,ܒܣܪ,ܒܣܰܪ,420,890,Verb,"ܒܣܰܪ fut. ܢܶܒܣܽܘܪ, Ia to despise; to blame, reprove; IIa to scorn; IIp.",to despise,
1637,ܟܢܪܐ,ܟܶܢܳܪܳܐ,10020,890,NounAdj,"ܟܶܢܳܪܳܐ stringed instrument, harp; ܟܶܢܳܪܳܐ ܕܪܽܘܚܳܐ ܕܩܽܘܕܫܳܐ Harp of the Holy Spirit, the epithet of poets such as King David, Ephrem, Jacob of Serugh, and Narsai; Lit. Kth. ܒܪܺܝܟ ܟܶܢܳܪܳܟ well-done (commendation after chanting).","stringed instrument, harp",Music
1638,ܫܘܩܪܐ,ܫܽܘܩܪܳܐ,3154,888,NounAdj,"ܫܽܘܩܪܳܐ falsehood, lie.","falsehood, lie",
1639,ܚܬܝܪܐ,ܚܬܺܝܪܳܐ,1190,887,NounAdj,"ܚܬܺܝܪܳܐ proud, haughty.","proud, haughty",
1640,ܣܪܝܩܐܝܬ,ܣܪܺܝܩܳܐܺܝܬ,12525,887,Adverb_ܐܝܬ,"ܣܪܺܝܩܳܐܺܝܬ vainly, without cause; empty handed.",vainly; empty handed,
1641,ܓܒܝܬܐ,ܓܒܺܝܬܳܐ,500,887,NounAdj,"ܓܒܺܝܬܳܐ choice, election; ܓܶܒ̈ܝܳܬܳܐ tribute.","choice, election",
1642,ܣܘܡܩܐ,ܣܽܘܡܳܩܳܐ,2158,884,NounAdj,ܣܽܘܡܳܩܳܐ red.,red,
1643,ܬܓܐ,ܬܳܓܳܐ,3355,884,NounAdj,ܬܳܓܳܐ crown.,crown,
1644,ܨܦܬܐ,ܨܶܦ݁ܬܳܐ,11601,881.1,NounAdj,"ܨܶܦ݁ܬܳܐ 1 (pl. ܨܶܦ̈ܬܶܐ) care, anxiety.","care, anxiety",
1645,ܚܡܫܡܐܐ,ܚܰܡܶܫܡܳܐܐ,1078,881,number,ܚܰܡܶܫܡܳܐܐ five hundred.,five hundred,Numbers
1646,ܛܝܡܐ,ܛܺܝܡܺܐ,11573,880,NounAdj,"ܛܺܝܡܺܐ, ܛܺܝܡܳܐ f. price, value.","price, value",
1647,ܓܡܠ,ܓܳܡܰܠ,11701,878,letter; numerical value,ܓܳܡܰܠ the letter Gomal; numerical value: 3.,the letter Gomal; numerical value: 3,Writing
1648,ܓܦܬܐ,ܓܦܶܬܳܐ,619,877,NounAdj,ܓܦܶܬܳܐ (pl. ܓܽܘ̈ܦܢܶܐ) vine.,vine,Nature
1649,ܙܐܦܐ,ܙܺܐܦܳܐ,11273,873,NounAdj,"ܙܺܐܦܳܐ fraud, deceit.","fraud, deceit",
1650,ܓܕܦ,ܓܰܕܶܦ,15330,872,Verb,"ܓܰܕܶܦ IIa to revile, blaspheme; IIp.","to revile, blaspheme",
1651,ܦܠܚܐ,ܦܰܠܳܚܳܐ,2530,871.2,NounAdj,ܦܰܠܳܚܳܐ laborer.,laborer,
1652,ܦܪܩܠܝܛܐ,ܦܰܪܰܩܠܺܝܛܳܐ,6009,869,Noun/Proper Noun,"ܦܰܪܰܩܠܺܝܛܳܐ Paraclete; intercessor, advocate.","Paraclete; intercessor, advocate",
1653,ܫܒܘܥܐ,ܫܰܒܽܘܥܳܐ,13072,868.5,NounAdj,"ܫܰܒܽܘܥܳܐ, ܫܰܒܽܘܥܬܳܐ week.",week,Time
1654,ܦܪܫܐ,ܦܰܪܳܫܳܐ,2620,867.85,NounAdj,"ܦܰܪܳܫܳܐ horseman, cavalier.",horseman,
1655,ܝܥܐ,ܝܺܥܳܐ,1395,867,Verb,"ܝܺܥܳܐ fut. ܢܺܐܥܶܐ, Ia to sprout, bud, spring up; IIIa ܐܰܘܥܺܝ to make to grow; to sprout, put forth.","to sprout, bud, spring up",Liquids
1656,ܝܬܝܪܘܬܐ,ܝܰܬܺܝܪܽܘܬܳܐ,1444,864,NounAdj,ܝܰܬܺܝܪܽܘܬܳܐ abundance; excellence; advantage; superfluity; products.,abundance; excellence; advantage,
1657,ܫܢܝܘܬܐ,ܫܳܢܝܽܘܬܳܐ,10583,864,NounAdj,"ܫܳܢܝܽܘܬܳܐ madness, insanity; senseless rage.","madness, insanity; senseless rage",
1658,ܒܨܝܪܘܬܐ,ܒܨܺܝܪܽܘܬܳܐ,446,864,NounAdj,"ܒܨܺܝܪܽܘܬܳܐ scarcity, paucity, deficiency; diminution.","scarcity, deficiency; diminution",
1659,ܩܣܪ,ܩܶܣܰܪ,2852,864,Proper noun,"ܩܶܣܰܪ caesar, emperor.","caesar, emperor",
1660,ܚܘܠܛܢܐ,ܚܽܘܠܛܳܢܳܐ,1040,864,NounAdj,"ܚܽܘܠܛܳܢܳܐ mingling; meeting, intimacy, association (with).",mingling; meeting,
1661,ܥܕܪܐ,ܥܶܕܪܳܐ,13432,863,NounAdj,"ܥܶܕܪܳܐ help, aid.","help, aid",
1662,ܨܘܬ,ܨܳܬ,2680,862,Verb,"ܨܳܬ fut. ܢܨܽܘܬ, Ia to hear, give heed Ip; IIIa to hearken.","to hear, give heed",
1663,ܐܝܘ,ܐܺܝܽܘ,5584,861,Adverb,ܐܺܝܽܘ well done!,well done,Liquids
1664,ܪܦܝܘܬܐ,ܪܰܦܝܽܘܬܳܐ,10928,861,NounAdj,ܪܰܦܝܽܘܬܳܐ laxity; looseness.,laxity; looseness,
1665,ܡܬܬܙܝܥܢܘܬܐ,ܡܶܬܬܙܺܝܥܳܢܽܘܬܳܐ,6886,861,NounAdj,"ܡܶܬܬܙܺܝܥܳܢܽܘܬܳܐ motion, movement; commotion; Gram. vocalization.",motion; Gram. vocalization,
1666,ܟܫܠܐ,ܟܶܫܠܳܐ,1598,860,NounAdj,"ܟܶܫܠܳܐ stumbling block, offence, scandal; scruple.",stumbling block; scruple,
1667,ܦܘܚܡܐ,ܦܽܘܚܳܡܳܐ,2478,860,NounAdj,ܦܽܘܚܳܡܳܐ comparison; metaphor; collation; punctuation.,comparison; metaphor,
1668,ܛܘܪܦܐ,ܛܽܘܪܳܦܳܐ,1283,858,NounAdj,"ܛܽܘܪܳܦܳܐ exhaustion, weariness, wretchedness; vexation, agitation, trouble; shaking off of leaves.","exhaustion, weariness; trouble",
1669,ܝܪܘܬܐ,ܝܳܪܽܘܬܳܐ,5676,857,NounAdj,"ܝܳܪܽܘܬܳܐ inheritor, heir.","inheritor, heir",
1670,ܪܘܡܚܐ,ܪܽܘܡܚܳܐ,2986,856,NounAdj,"ܪܽܘܡܚܳܐ f. spear, lance.","spear, lance",Warfare
1671,ܬܡܗܐ,ܬܶܡܗܳܐ,3405,855,NounAdj,ܬܶܡܗܳܐ amazement; stupor; prodigy.,amazement; stupor; prodigy,
1672,ܡܠܘܐܐ,ܡܠܽܘܐܳܐ,9360,854,NounAdj,"ܡܠܽܘܐܳܐ fullness, abundance, volume, amount, sum, total; commodity, material.",fullness; material,
1673,ܓܢܐ,ܓܢܳܐ,597,854,Verb,"ܓܢܳܐ fut. ܢܶܓܢܶܐ, Ia to recline, lie down; to withdraw, depart secretly; Ip; IIa to blame, find fault with; IIp to be blamed; to conceal oneself; IIIa to make to sit (at table); to conceal oneself.","to recline, lie down",
1674,ܪܬܝܬܐ,ܪܬܺܝܬܳܐ,3084,853.1,NounAdj,ܪܬܺܝܬܳܐ (= ܐܰܪܬܺܝܬܳܐ) trembling state.,trembling state,
1675,ܬܘܪܨܐ,ܬܽܘܪܳܨܳܐ,3450,853,NounAdj,"ܬܽܘܪܳܨܳܐ straightening; correction, revision; ܬܽܘܪܳܨ ܡܰܡܠ̱ܠܳܐ grammar.",straightening; correction,
1676,ܪܒܝܬܐ,ܪܰܒܰܝܬܳܐ,8634,853,NounAdj,ܪܰܒܰܝܬܳܐ (= ܪܰܒ ܒܰܝܬܳܐ) steward.,steward,
1677,ܟܪܟܐ,ܟܶܪܟܳܐ,1592,852,NounAdj,ܟܶܪܟܳܐ scroll; volume; roll; eddy.,scroll; volume; roll,
1678,ܚܟܝܡܐܝܬ,ܚܰܟܺܝܡܳܐܺܝܬ,1028,851,Adverb_ܐܝܬ,"ܚܰܟܺܝܡܳܐܺܝܬ wisely, prudently.","wisely, prudently",
1679,ܐܣܛܠܐ,ܐܶܣܛܠܳܐ,211,848,NounAdj,"ܐܶܣܛܠܳܐ f. garment, raiment.",garment,Clothing
1680,ܣܚܦ,ܣܚܰܦ,2107,847,Verb,"ܣܚܰܦ fut. ܢܶܣܚܽܘܦ, Ia to overthrow, overturn, demolish; Ip, IIp; IIa to destroy, to ruin; to degrade; to thrust away.","to overthrow, overturn, demolish",
1681,ܟܬܐ,ܟܶܬܳܐ,9227,846.9,NounAdj,"ܟܶܬܳܐ dust, clod (of earth).","dust, clod",
1682,ܫܚܝܡܐܝܬ,ܫܚܺܝܡܳܐܺܝܬ,6351,846,Adverb_ܐܝܬ,"ܫܚܺܝܡܳܐܺܝܬ plainly, simply; unadvisedly.","plainly, simply; unadvisedly",
1683,ܒܥܠܕܒܒܘܬܐ,ܒܥܶܠܕܒܳܒܽܘܬܳܐ,438,845,NounAdj,ܒܥܶܠܕܒܳܒܽܘܬܳܐ enmity.,enmity,
1684,ܐܟܬܐ,ܐܰܟܬܳܐ,126,844,NounAdj,"ܐܰܟܬܳܐ anger, resentment, grudge.","anger, resentment, grudge",
1685,ܥܢܘܝܘܬܐ,ܥܰܢܘܳܝܽܘܬܳܐ,7564,843,NounAdj,"ܥܰܢܘܳܝܽܘܬܳܐ abstinence, self-denial.","abstinence, self-denial",
1686,ܫܘܪ,ܫܘܰܪ,3155,842,Verb,"ܫܘܰܪ fut. ܢܶܫܘܰܪ, Ia to leap, jump; to rise up; to aspire to; to recoil (from); Ip to spring up; IIa to skip, to dance, to gambol.","to leap, jump",
1687,ܚܢܓܬܐ,ܚܢܰܓܬܳܐ,14554,842,NounAdj,"ܚܢܰܓܬܳܐ sigh, groan.","sigh, groan",
1688,ܙܥܘܪܘܬܐ,ܙܥܽܘܪܽܘܬܳܐ,7400,841,NounAdj,"ܙܥܽܘܪܽܘܬܳܐ smallness, fewness, feebleness.","smallness, feebleness",
1689,ܢܓܕܐ,ܢܶܓܕ݁ܳܐ,6884,840,NounAdj,"ܢܶܓܕ݁ܳܐ scourging, blows, punishment; drawing up (of net).",scourging,
1690,ܪܦ,ܪܰܦ,3058,840,Verb,"ܪܰܦ fut. ܢܶܪܰܦ, Ia to blink; to flap (wings); to move gently; IIa to flutter; IIp to be moved slightly; IIIa to twitch; to move slightly.",to blink,
1691,ܒܙܚ,ܒܰܙܰܚ,15256,839,Verb,"ܒܰܙܰܚ IIa to mock, insult, Kth. to joke; IIp.","to mock, Kth. to joke",
1692,ܩܠܣ,ܩܰܠܶܣ,2828,839,Verb,"ܩܰܠܶܣ IIa to applaud, praise; IIp.","to applaud, praise",
1693,ܪܗܛܐ,ܪܰܗܳܛܳܐ,13037,837.3,NounAdj,"ܪܰܗܳܛܳܐ runner, courier; swift; rafter; + ܩܰܕܡܳܝܳܐ precursor, forerunner (of John the Baptist).","runner, courier; swift",
1694,ܪܝܫܝܐ,ܪܺܝܫܳܝܳܐ,3018,836,NounAdj,"ܪܺܝܫܳܝܳܐ best, chief.","best, chief",
1695,ܩܒܥ,ܩܒܰܥ,2732,835,Verb,"ܩܒܰܥ fut. ܢܶܩܒܽܘܥ & ܢܶܩܒܰܥ, Ia to fix, fasten; Ip; IIa to drive in; IIp.","to fix, fasten",
1696,ܩܪܝܪܘܬܐ,ܩܰܪܺܝܪܽܘܬܳܐ,10891,833,NounAdj,"ܩܰܪܺܝܪܽܘܬܳܐ frost, coldness.","frost, coldness",
1697,ܦܫܝܛܐܝܬ,ܦܫܺܝܛܳܐܺܝܬ,13685,833,Adverb_ܐܝܬ,"ܦܫܺܝܛܳܐܺܝܬ simply, generally.","simply, generally",
1698,ܐܘܪܟܐ,ܐܽܘܪܟܳܐ,283,829,NounAdj,ܐܽܘܪܟܳܐ length; longitude.,length; longitude,
1699,ܐܟܪܐ,ܐܰܟܳܪܳܐ,125,827,NounAdj,"ܐܰܟܳܪܳܐ farmer, ploughman.","farmer, ploughman",
1700,ܡܘܠܝܐ,ܡܽܘܠܳܝܳܐ,1764,826,NounAdj,"ܡܽܘܠܳܝܳܐ fulfilling, completion, conclusion.","fulfilling, completion",
1701,ܥܘܩܒܐ,ܥܽܘܩܳܒܳܐ,2394,825,NounAdj,"ܥܽܘܩܳܒܳܐ investigation, enquiry.","investigation, enquiry",
1702,ܡܣܩܐ,ܡܰܣܩܳܐ,10496,824,NounAdj,"ܡܰܣܩܳܐ ascent, rising.","ascent, rising",
1703,ܙܕܩܐܝܬ,ܙܳܕܩܳܐܺܝܬ,8084,824,Adverb_ܐܝܬ,"ܙܳܕܩܳܐܺܝܬ rightly, deservedly.","rightly, deservedly",
1704,ܛܢ,ܛܰܢ,1253,824,Verb,"ܛܰܢ fut. ܢܶܛܰܢ, Ia to envy, to be jealous; to be zealous, moved by zeal; Ip to be envied; IIa to inflame with zeal; to provoke to jealousy; IIp to be provoked to wrath, zeal; IIIa to provoke to jealousy; to inflame with zeal.","to envy, to be jealous",
1705,ܕܓܠ,ܕܰܓܶܠ,15063,823,Verb,"ܕܰܓܶܠ IIa to deceive, to lie; to defraud; to accuse of falsehood; IIp to be accused, suspected of falsehood; to be deceived, mistaken.","to deceive, to lie",
1706,ܦܠܓܐ,ܦܠܰܓܳܐ,12320,822.6,NounAdj,ܦܠܰܓܳܐ tambourine; phalanx.,tambourine; phalanx,
1707,ܡܠܝܐܝܬ,ܡܰܠܝܳܐܺܝܬ,7996,822,Adverb_ܐܝܬ,"ܡܰܠܝܳܐܺܝܬ fully, completely.","fully, completely",
1708,ܚܪܡܢܐ,ܚܰܪܡܳܢܳܐ,12300,822,NounAdj,ܚܰܪܡܳܢܳܐ cruel; basilisk.,cruel; basilisk,
1709,ܪܦܝܐ,ܪܰܦܝܳܐ,3061,822,NounAdj,"ܪܰܦܝܳܐ slack; relaxed; dissolute; soft, friable.",slack; dissolute; soft,
1710,ܟܘܬܝܢܐ,ܟܽܘܬܺܝܢܳܐ,1607,822,NounAdj,"ܟܽܘܬܺܝܢܳܐ f. tunic, linen garment, Kth. coat, Lit. deacon’s white robe.","tunic, Kth. coat",
1711,ܬܗܝܪܐ,ܬܰܗܺܝܪܳܐ,3364,821,NounAdj,ܬܰܗܺܝܪܳܐ wonderful; astonished.,wonderful; astonished,
1712,ܪܗܒܘܢܐ,ܪܰܗܒܽܘܢܳܐ,2954,819,NounAdj,"ܪܰܗܒܽܘܢܳܐ pledge, deposit.","pledge, deposit",
1713,ܢܝܚܬܐ,ܢܝܳܚܬܳܐ,1930,819,NounAdj,"ܢܝܳܚܬܳܐ rest, repose.","rest, repose",
1714,ܡܫܝܚܘܬܐ,ܡܫܺܝܚܽܘܬܳܐ,1872,819,NounAdj,"ܡܫܺܝܚܽܘܬܳܐ anointing, unction.","anointing, unction",
1715,ܟܦܘܪܐ,ܟܳܦܽܘܪܳܐ,1570,818,NounAdj,ܟܳܦܽܘܪܳܐ unbeliever.,unbeliever,
1716,ܡܫܬܝܐ,ܡܰܫܬܝܳܐ,3337,818,NounAdj,ܡܰܫܬܝܳܐ drink; feast.,drink; feast,Food
1717,ܚܘܪܐ,ܚܰܘܪܳܐ,991,817.4,NounAdj,"ܚܰܘܪܳܐ sight, aspect, look, appearance; likeness, example, model; white poplar.","model; sight, appearance",
1718,ܕܦܐ,ܕܰܦܳܐ,741,817,NounAdj,"ܕܰܦܳܐ board, tablet; plank; leaf (of book), page.","board, tablet; plank",
1719,ܟܘܢܫܐ,ܟܽܘܢܳܫܳܐ,13168,814,NounAdj,"ܟܽܘܢܳܫܳܐ gathering, collection, convoking; conclusion.","gathering, collection; conclusion",
1720,ܚܣܡ,ܚܣܰܡ,1109,812,Verb,"ܚܣܰܡ fut. ܢܶܚܣܽܘܡ, Ia to emulate, rival; to envy, be jealous of; Ip to be envied, incur jealousy; IIp to compete zealously.","to emulate, rival",
1721,ܐܣܪܚ,ܣܪܰܚ,15254,811,Verb,"ܣܪܚ* 2 IIIa ܐܰܣܪܰܚ to propound, to express; to bestow; to designate, to appoint; to ordain; to publish, to bring out; to spread out; IIIp to be ordained, appointed.","to propound, to express",
1722,ܟܠܝܢܐ,ܟܶܠܝܳܢܳܐ,1529,810,NounAdj,ܟܶܠܝܳܢܳܐ hindrance; prohibition.,hindrance; prohibition,
1723,ܡܣܒܐ,ܡܰܣܒܳܐ,1983,810,NounAdj,"ܡܰܣܒܳܐ taking, receiving; ܡܰܣܒܳܐ ܘܡܰܬܠܳܐ commerce, trade; ܡܰܣܰܒ ܒܰܐܦ̈ܶܐ dissimulation, hypocrisy.","taking, receiving",
1724,ܓܪܐ,ܓܪܳܐ,15558,810,Verb,"ܓܪܳܐ fut. ܢܶܓܪܶܐ, Ia to trickle, run down; to be dragged; to urge; to be greedy for; IIa to provoke, incite; to attack; IIp to stir up strife, pick a quarrel, contend with; withdraw, retire; IIIa to incite to sin.","to trickle, run down",Movement
1725,ܬܚܦܝܬܐ,ܬܰܚܦܺܝܬܳܐ,1120,805,NounAdj,"ܬܰܚܦܺܝܬܳܐ veil, covering; disguise.","veil, covering; disguise",
1726,ܐܒܗܝܐ,ܐܰܒܳܗܳܝܳܐ,7354,804,NounAdj,"ܐܰܒܳܗܳܝܳܐ fatherly, paternal, ancestral.","fatherly, paternal",
1727,ܐܝܟܢܝܘܬܐ,ܐܰܝܟܰܢܳܝܽܘܬܳܐ,9997,804,NounAdj,"ܐܰܝܟܰܢܳܝܽܘܬܳܐ condition, quality.","condition, quality",
1728,ܡܢܢܐ,ܡܰܢܢܳܐ,1808,804,NounAdj,ܡܰܢܢܳܐ manna.,manna,
